name,city,state,price,lat,lon
Augusta,Augusta,GA,3.518666665,33.4709714,-81.9748429
Augusta,Augusta,ME,3.893166665,44.3148027,-69.7743945
Aurora,Aurora,CO,3.288999995,39.7401441,-104.8733376
Aurora,Aurora,MO,3.164,36.9724863,-93.7211623
Aurora,Aurora,NE,3.194,40.866888,-98.004508
Aurora,Aurora,OR,3.945666665,45.2310497,-122.755035
Austin,Austin,IN,3.799,38.7423428,-85.8048022
Austin,Austin,MN,3.374,43.6679992,-92.9746498
Austin,Austin,TX,3.13233333,30.2711286,-97.7436995
Austinburg,Austinburg,OH,3.859,41.7720075,-80.8546999
Austinville,Austinville,VA,3.24066666,36.851331,-80.9143144
Avenel,Avenel,NJ,3.3356666649999998,40.5848314,-74.2730161
Avis,Avis,PA,3.539,41.1847939,-77.3138622
Avoca,Avoca,IA,3.659,41.4776567,-95.3394897
Avon,Avon,NY,3.999,42.9119925,-77.7454567
Avon,Avon,OH,3.769,41.4516512,-82.0350598
Avondale,Avondale,AZ,3.593,33.4355977,-112.349602
Ayer,Ayer,MA,3.649,42.5595807,-71.5882561
Aynor,Aynor,SC,3.124,33.9998881,-79.1994874
Ayr,Ayr,ON,4.456476258333333,40.9521946,-87.3000728
Azle,Azle,TX,2.919,32.8975875,-97.5437799
Aztec,Aztec,NM,3.77566666,36.8220629,-107.992899
Baden,Baden,PA,3.91233333,40.6350668,-80.2281159
Baileyville,Baileyville,ME,3.899,45.1549515,-67.4050134
Bainbridge,Bainbridge,GA,3.544,30.9038252,-84.5754768
Baird,Baird,TX,3.10733333,32.3946111,-99.3963478
Baker City,Baker City,OR,3.4852499975,44.7748748,-117.834384
Baker,Baker,FL,3.299,30.3143459,-82.2847163
Bald Knob,Bald Knob,AR,3.3663333333333334,35.3100919,-91.5671898
Baldwin,Baldwin,WI,3.5253333333333337,44.9667546,-92.3732461
Ballinger,Ballinger,TX,3.05566666,31.7411047,-99.9530698
Baltimore,Baltimore,MD,3.6350000000000002,39.2908816,-76.610759
Bangor,Bangor,ME,3.799,44.8016255,-68.7713289
Bangs,Bangs,TX,2.93233333,31.7170958,-99.1325529
Baraboo,Baraboo,WI,3.11566666,43.4704014,-89.7437844
Barberton,Barberton,OH,3.58233333,41.012833,-81.6051221
Bardstown,Bardstown,KY,3.17233333,37.8092463,-85.4669015
Barneveld,Barneveld,WI,3.489,43.0153376,-89.8958792
Barnhart,Barnhart,MO,2.99733333,38.3397205,-90.4067425
Barrington,Barrington,NH,3.899,43.223191,-71.047211
Barron,Barron,WI,3.6501111099999997,45.423557,-91.8454099
Barry,Barry,IL,3.599,39.6942135,-91.0390246
Bartlesville,Bartlesville,OK,3.191,36.7509272,-95.9771779
Bartow,Bartow,FL,3.5734444433333334,27.8964384,-81.843323
Bassett,Bassett,VA,3.41566666,36.761832,-79.9873356
Bastian,Bastian,VA,3.59733333,37.155124,-81.1512098
